complexity,changes,previous_bugs,lines_of_code,test_failures,defect
5,1,0,100,0,0
6,2,0,150,1,0
7,1,0,200,0,0
8,2,1,220,1,0
9,3,1,250,1,0
10,2,1,300,1,0
11,4,1,350,2,0
12,3,2,400,2,0
13,5,2,450,2,0
14,4,2,500,3,0
15,6,2,550,3,1
16,5,3,600,3,1
17,7,3,650,4,1
18,8,4,700,4,1
19,7,4,750,5,1
20,9,5,800,5,1
21,10,5,850,6,1
22,9,6,900,6,1
23,11,6,950,7,1
24,12,7,1000,7,1
25,13,7,1100,8,1
26,14,8,1200,8,1
27,15,9,1300,9,1
28,16,10,1400,10,1
29,17,10,1500,10,1
30,18,11,1600,11,1
4,1,0,80,0,0
5,2,0,120,0,0
8,1,1,180,1,0
10,3,1,280,1,0
12,4,2,420,2,0
14,5,2,520,2,0
16,7,3,620,4,1
18,9,4,720,5,1
20,11,5,820,6,1
22,13,6,920,7,1
24,15,8,1050,9,1
26,16,9,1250,10,1
28,18,10,1450,11,1
30,20,12,1700,12,1
